"value","age","Unnamed..4_level_0_90s","Expected_PSxG.SoT","Expected_.90","Launched_Cmp.","Passes_Launch.","Passes_AvgLen","Goal.Kicks_Launch.","Goal.Kicks_AvgLen","Crosses_Stp.","Sweeper_.OPA.90","Sweeper_AvgDist","GoalsGA.MP","GoalsFK.MP","GoalsPKA.MP","GoalsCK.MP","GoalsOG.MP","Expected_PSxG.MP","Expected_PSxG....MP","Launched_Cmp.MP","Launched_Att.MP","Passes_Att.MP","Passes_Thr.MP","Goal.Kicks_Att.MP","Crosses_Opp.MP","Crosses_Stp.MP","Sweeper_.OPA.MP"
4,27,25,0.26,-0.16,45.5,61.7,43.9,64.7,48.2,4.9,2,16.6,1.52,0.04,0,0.12,0.04,1.288,-0.152,8.8,19.36,23.52,3.28,7.48,13.12,0.64,1.92
10,22,21,0.25,0.11,24.1,24.6,29,41.8,36,8.5,0.6,12,1.0952380952381,0.0952380952380952,0.0476190476190476,0.0476190476190476,0.142857142857143,0.914285714285714,0.104761904761905,1.95238095238095,8.09523809523809,27.4761904761905,3.80952380952381,3.19047619047619,10.047619047619,0.857142857142857,0.571428571428571
1,32,17,0.27,0.19,27.7,40.6,35.9,48.7,41,7.2,0.76,14.2,1.58823529411765,0,0.235294117647059,0,0,1.77647058823529,0.188235294117647,4.47058823529412,16.1176470588235,28.8235294117647,4.94117647058824,9.05882352941176,13.0588235294118,0.941176470588235,0.764705882352941
2.5,33,23,0.26,-0.1,32.6,30.7,31.9,40.7,36.8,7.3,0.73,13.7,1.60869565217391,0.0434782608695652,0.260869565217391,0.173913043478261,0.0869565217391304,1.33913043478261,-0.0956521739130435,3.43478260869565,10.5217391304348,27.4347826086957,4.26086956521739,5.1304347826087,10.7826086956522,0.782608695652174,0.695652173913043
0.9,38,22.6,0.27,0.05,37.2,51.9,39.3,60.8,45.3,6.5,0.53,11.8,1.19469026548673,0,0.0442477876106195,0,0.0442477876106195,1.20353982300885,0.0530973451327434,5.35398230088496,14.3805309734513,19.7787610619469,4.73451327433628,6.76991150442478,14.2920353982301,0.929203539823009,0.530973451327434
3.5,32,26,0.28,0.19,38.7,31.7,32.9,38.2,34.8,6,0.8,13.5,1.30769230769231,0.0384615384615385,0.230769230769231,0.153846153846154,0.0769230769230769,1.41153846153846,0.180769230769231,4.15384615384615,10.7307692307692,25.2692307692308,5.26923076923077,7.15384615384615,12.7307692307692,0.769230769230769,0.769230769230769
5,37,12,0.29,0.31,49.4,16.6,26.8,10.1,23.8,3.9,1.92,19.5,0.916666666666667,0,0.166666666666667,0,0,1.225,0.308333333333333,3.25,6.58333333333333,36.25,6.75,5.75,8.58333333333333,0.333333333333333,1.91666666666667
1,35,24,0.29,-0.14,47.8,66.7,44.7,69.4,50.2,5.6,3.74,23,2.33333333333333,0.0416666666666667,0.291666666666667,0.333333333333333,0.125,2.075,-0.133333333333333,16,33.5,42.7083333333333,2.58333333333333,7.20833333333333,14.0833333333333,0.791666666666667,3.58333333333333
35,31,25,0.2,0.23,45.6,20.5,28.3,35.4,36.6,4.1,0.88,15.6,0.32,0,0.08,0.04,0.04,0.496,0.216,3.76,8.24,31.4,4.2,5.08,9.76,0.4,0.84
0.3,33,5,0.2,-0.44,24.4,30.3,33.9,40,36.9,2,0.5,16,1.8,0,0,0.4,0,0.84,-0.36,2,8.2,17.8,3.6,7,9.8,0.2,0.4
7,24,2,0.52,0.56,40,20.4,28.1,55.6,44.2,7.7,1.5,13.8,1,0,0,0,0,1.55,0.55,4,10,24.5,5.5,9,13,1,1.5
3.5,32,26,0.28,0.1,39.6,39.7,35.8,55.8,43.1,3.6,0.64,11.3,1.69230769230769,0,0.192307692307692,0.307692307692308,0.0769230769230769,1.63461538461538,0.0961538461538462,4.80769230769231,12.1538461538462,19.9615384615385,4,7.57692307692308,14.8076923076923,0.538461538461538,0.615384615384615
13,23,17,0.28,0,29.6,50,40.4,62.5,50.3,7.4,0.75,13.3,1.70588235294118,0.117647058823529,0.117647058823529,0.235294117647059,0.0588235294117647,1.52941176470588,0,4.82352941176471,16.2941176470588,23.7647058823529,5,7.05882352941176,12.7058823529412,0.941176470588235,0.705882352941177
5,32,26,0.3,0.01,39.8,35.1,33.3,35.8,34.5,1.8,0.52,13.3,1.15384615384615,0.0384615384615385,0.115384615384615,0.0769230769230769,0.0769230769230769,1.08846153846154,0.0115384615384615,3.96153846153846,9.96153846153846,20.5,3.5,7.73076923076923,12.8846153846154,0.230769230769231,0.5
1.5,31,6.9,0.3,-0.17,40.3,19.3,28.5,68.9,48.9,8.1,2.02,19.9,1.30434782608696,0.144927536231884,0,0.289855072463768,0,1.1304347826087,-0.173913043478261,4.49275362318841,11.1594202898551,26.231884057971,6.52173913043478,8.84057971014493,12.463768115942,1.01449275362319,2.02898550724638
3,26,2,0.51,0.01,34,73.9,46,86.7,60,3.8,1,14,1,0,0,0,0,1,0,8,23.5,23,1.5,7.5,13,0.5,1
12,30,24,0.26,-0.01,43.5,39.3,37.2,74.1,58.4,6,1.22,15.1,1.375,0,0.208333333333333,0.166666666666667,0,1.325,-0.00833333333333333,7.66666666666667,17.625,33.25,3.16666666666667,6.125,11.75,0.708333333333333,1.16666666666667
3.5,24,10.5,0.34,-0.66,47.9,38.1,32.6,58.7,45.7,2.4,0.38,9.6,2.95238095238095,0,0.19047619047619,0.761904761904762,0.19047619047619,2.1047619047619,-0.657142857142857,6.66666666666667,13.9047619047619,20.4761904761905,4.47619047619048,10.3809523809524,19.6190476190476,0.476190476190476,0.380952380952381
2,31,3.1,0.2,-0.17,37.5,37,37.4,55.6,51,17.1,1.2,11.1,0.967741935483871,0,0,0,0,0.838709677419355,-0.129032258064516,4.83870967741935,12.9032258064516,26.1290322580645,4.19354838709677,5.80645161290323,11.2903225806452,1.93548387096774,0.967741935483871
1.5,34,0.7,0.21,1.42,50,18.8,21.1,50,30,7.7,0,12.5,0,0,0,0,0,1.57142857142857,1.57142857142857,4.28571428571429,8.57142857142857,22.8571428571429,11.4285714285714,8.57142857142857,18.5714285714286,1.42857142857143,0
7,28,24,0.26,-0.28,36.9,25.8,30.8,27.7,33.3,4.5,0.43,11.5,1.58333333333333,0.166666666666667,0.166666666666667,0.0833333333333333,0.125,1.1,-0.275,3.83333333333333,10.375,34.375,3.45833333333333,5.41666666666667,13.75,0.625,0.416666666666667
6,31,22.9,0.24,0,45.2,31.8,32.7,47.8,39,7.8,1.73,17.3,0.873362445414847,0,0.0873362445414847,0.0873362445414847,0,0.873362445414847,0,5.76419213973799,12.7510917030568,29.6506550218341,4.62882096069869,6.94323144104804,13.3624454148472,1.04803493449782,1.65938864628821
4,31,9,0.29,-0.26,30.6,30.5,32,71.4,51.5,8,0.5,12.5,1.22222222222222,0,0.333333333333333,0.111111111111111,0,0.988888888888889,-0.233333333333333,3.66666666666667,12,21.1111111111111,4.44444444444444,7.77777777777778,12.4444444444444,1,0.444444444444444
4,30,8.5,0.24,0.71,29.3,30.2,31,48,40,2.5,1.33,16.2,0.705882352941177,0,0.117647058823529,0,0,1.10588235294118,0.635294117647059,3.17647058823529,10.8235294117647,26.4705882352941,4.94117647058824,5.88235294117647,14.2352941176471,0.352941176470588,1.17647058823529
0.7,29,1,0.34,-0.33,30.4,54.2,45.4,83.3,52.3,10.5,0,6,1,0,0,0,0,0.7,-0.3,7,23,24,4,12,19,2,0
7,31,27,0.27,-0.04,36.3,41,35.3,51.5,42.2,6.2,0.88,12.3,1.7037037037037,0,0.37037037037037,0.185185185185185,0,1.58888888888889,-0.0407407407407407,3.96296296296296,10.9259259259259,20.4074074074074,3.44444444444444,4.96296296296296,13.7037037037037,0.851851851851852,0.851851851851852
0.5,28,0.7,0.18,0.11,41.2,51.7,44,66.7,46,50,5.81,16.5,1.42857142857143,0,0,1.42857142857143,0,1.57142857142857,0.142857142857143,10,24.2857142857143,41.4285714285714,11.4285714285714,4.28571428571429,8.57142857142857,4.28571428571429,5.71428571428571
8,26,25,0.33,0.09,34.2,31.6,33,36.7,34.1,3.2,0.67,12.2,1.32,0,0,0.12,0.04,1.332,0.092,4.16,12.16,31.52,6,6,13.56,0.44,0.64
0.6,29,16,0.28,-0.29,34.6,37.6,33.2,54.4,42.3,4.4,0.67,12.5,1.375,0.0625,0.0625,0.125,0,1.10625,-0.26875,4.5625,13.1875,23.75,3.5,7.8125,15.6875,0.6875,0.625
45,28,9,0.24,-0.01,40.6,31,33.4,41.7,40.9,7.3,1.11,13.8,1.11111111111111,0,0.222222222222222,0.111111111111111,0,1.1,-0.0111111111111111,4.77777777777778,11.7777777777778,34.4444444444444,4.88888888888889,2.66666666666667,10.6666666666667,0.777777777777778,1.11111111111111
2,30,27,0.28,0.19,38.9,40.9,37.4,45,39.4,7.3,0.69,11.9,1.40740740740741,0,0.259259259259259,0.111111111111111,0,1.44444444444444,0.185185185185185,5.96296296296296,15.3333333333333,29.7037037037037,4.7037037037037,7.07407407407407,12.2592592592593,0.888888888888889,0.666666666666667
2.5,34,15.5,0.26,0.19,41,50.6,38.8,71.8,46.5,7.8,1.1,11.7,1.29032258064516,0,0.258064516129032,0.32258064516129,0.0645161290322581,1.40645161290323,0.180645161290323,6.58064516129032,16.0645161290323,20.3870967741935,4.32258064516129,8,20.6451612903226,1.61290322580645,1.03225806451613
4,28,23,0.27,0.35,47.8,46.2,39.5,71.4,53.7,6.8,1.45,14.8,1.04347826086957,0.0434782608695652,0.0869565217391304,0.0434782608695652,0,1.33478260869565,0.334782608695652,8.8695652173913,18.5652173913043,30.304347826087,4.65217391304348,6.39130434782609,16.6086956521739,1.1304347826087,1.39130434782609
20,31,24.2,0.25,0.06,32,34.3,33.4,72.5,52.8,7.1,2.24,19.3,0.743801652892562,0,0.0413223140495868,0.206611570247934,0,0.756198347107438,0.0537190082644628,3.38842975206612,10.5785123966942,19.3801652892562,6.28099173553719,5.41322314049587,12.2314049586777,0.867768595041322,2.14876033057851
4,33,24,0.31,-0.23,38.7,29.3,30.8,23.1,27.2,10.4,1.39,13.6,1.83333333333333,0.0416666666666667,0.0416666666666667,0.333333333333333,0.0416666666666667,1.49166666666667,-0.216666666666667,4.58333333333333,11.8333333333333,35.6666666666667,5.45833333333333,5.95833333333333,13.1666666666667,1.375,1.33333333333333
4,24,24,0.33,-0.37,36.2,40.1,34.8,66.7,51.3,7.9,2.35,18.9,1.875,0.0833333333333333,0.125,0.25,0,1.475,-0.358333333333333,5.75,15.875,28.7916666666667,5.16666666666667,6.5,13.125,1.04166666666667,2.25
1,33,1,0.03,0.03,57.1,25,33.4,0,10,0,0,10.8,0,0,0,0,0,0,0,4,7,28,4,2,9,0,0
14,28,23,0.24,0.22,36.1,23.2,30.7,50,39.3,6.1,1.05,15.2,0.956521739130435,0,0.173913043478261,0.0434782608695652,0.0434782608695652,1.03478260869565,0.208695652173913,3.17391304347826,8.78260869565217,26.6086956521739,4.04347826086957,5.21739130434783,10.6521739130435,0.652173913043478,1
3,31,14,0.32,0.19,39.8,32.4,33.1,59.8,47.7,8.6,1.57,15.3,1.42857142857143,0,0.142857142857143,0.142857142857143,0,1.62142857142857,0.192857142857143,5.85714285714286,14.7142857142857,29.2857142857143,5.21428571428571,8.71428571428571,17.3571428571429,1.5,1.57142857142857
0.7,41,10,0.29,0.12,31.3,16.8,26.5,41.5,36,3.4,1,18,1.3,0,0.3,0.1,0,1.31,0.11,2.1,6.7,29.7,3.1,4.1,11.9,0.4,0.9
3.5,33,6,0.37,0.19,29.7,15.6,26.4,25,29.6,4.9,1.67,19.4,1.66666666666667,0,0.166666666666667,0.333333333333333,0.166666666666667,1.68333333333333,0.183333333333333,1.83333333333333,6.16666666666667,29.8333333333333,6.16666666666667,6,10.1666666666667,0.5,1.66666666666667
2,33,22,0.27,-0.21,41.2,32.7,33.3,44.9,40,5,2,18.7,1.31818181818182,0,0.136363636363636,0.136363636363636,0.0454545454545455,1.05909090909091,-0.213636363636364,5.18181818181818,12.5909090909091,29.3636363636364,3.77272727272727,6.68181818181818,9.04545454545454,0.454545454545455,2
10,28,25,0.25,0.07,41.8,54.8,42.2,65.1,48.7,4.1,0.67,12.7,1.04,0,0.2,0.12,0,1.064,0.064,7.84,18.76,23.88,3.8,8.72,15.48,0.64,0.64
0.15,36,1,0.13,0.13,33.3,7.7,23.4,40,45.6,0,1,21.5,0,0,0,0,0,0.1,0.1,1,3,13,4,5,10,0,1
0.2,20,2,0.19,-0.03,26.3,50,41.6,73.3,54.7,6.7,0,8,1.5,0,0,0,0,0.5,0,2.5,9.5,8,3,7.5,7.5,0.5,0
0.25,40,15,0.33,-0.11,34.6,28.1,30.8,24.6,32.8,6.5,1.8,20.5,1.2,0.133333333333333,0,0.0666666666666667,0,1.09333333333333,-0.106666666666667,3.73333333333333,10.8,34.6666666666667,5.53333333333333,4.33333333333333,9.2,0.6,1.8
1.5,27,1,0.25,0.48,55.6,25,33.2,66.7,46.5,9.1,0,7,1,0,0,0,0,1.5,0.5,5,9,20,9,6,11,1,0
0.4,36,5.7,0.14,-0.06,41.4,17.6,27.6,21.2,25.7,12.2,1.5,16.8,1.2280701754386,0,0.701754385964912,0,0,0.649122807017544,-0.0526315789473684,2.10526315789474,5.08771929824561,21.9298245614035,4.03508771929825,5.78947368421053,8.59649122807017,1.05263157894737,1.2280701754386
0.1,36,22,0.28,0.35,31,36.6,34.2,69.5,50.1,5.4,0.68,11.4,0.954545454545455,0,0.181818181818182,0.0454545454545455,0,1.30909090909091,0.354545454545455,4.59090909090909,14.8181818181818,22.9545454545455,3.54545454545455,9.22727272727273,14.2727272727273,0.772727272727273,0.681818181818182
28,25,22,0.26,-0.09,27.9,24.7,29.3,38.6,35.9,7.7,0.59,12.5,1.31818181818182,0,0.227272727272727,0.181818181818182,0.136363636363636,1.09545454545455,-0.0863636363636364,2.54545454545455,9.13636363636364,28,4.45454545454545,5.77272727272727,10,0.772727272727273,0.590909090909091
1.5,33,2.6,0.3,-0.58,23.1,43.7,37.5,58.3,46.1,10.5,1.14,16.2,2.69230769230769,0,0.384615384615385,1.15384615384615,0,2.11538461538462,-0.576923076923077,4.61538461538461,20,33.4615384615385,6.53846153846154,9.23076923076923,14.6153846153846,1.53846153846154,1.15384615384615
5,29,18,0.3,-0.19,30.9,53.7,41.8,82.2,59.4,12.2,2,18.5,1.38888888888889,0.0555555555555556,0.0555555555555556,0.111111111111111,0,1.15555555555556,-0.177777777777778,5.44444444444444,17.6111111111111,22.7777777777778,4.77777777777778,6.55555555555556,10.5,1.27777777777778,1.88888888888889
3,28,4,0.18,-0.02,26.8,23.9,28.6,36.1,33.3,0,1,20.3,1.25,0,0,0.25,0.5,0.725,-0.025,2.75,10.25,29.25,5.25,9,14,0,1
5,35,26,0.2,-0.2,40.8,35.5,32.8,31.3,32.7,3.3,0.68,13.9,0.961538461538462,0.0384615384615385,0.0769230769230769,0.115384615384615,0.0384615384615385,0.576923076923077,-0.192307692307692,3.42307692307692,8.38461538461539,17.5384615384615,3.53846153846154,6.88461538461539,11.5769230769231,0.384615384615385,0.653846153846154
15,29,19,0.29,0.05,37.8,40.9,35.8,65.8,48.9,5.2,1.56,16.9,1.10526315789474,0.0526315789473684,0.0526315789473684,0.210526315789474,0,1.1,0.0473684210526316,5.89473684210526,15.5789473684211,24.9473684210526,3.68421052631579,8.1578947368421,13.1052631578947,0.684210526315789,1.47368421052632
1.5,29,4,0.2,0.39,35.3,41.4,37.4,81.5,57.4,5.7,1.25,14.5,0.5,0,0,0,0,0.9,0.4,6,17,27.75,3.75,6.75,17.5,1,1.25
0.8,26,2,0.26,-1.23,0,5.3,21.4,0,15,50,1,11.3,1.5,0,0,0.5,0,0.4,-0.6,0,0.5,9.5,2.5,2.5,2,1,0.5
6,30,12,0.24,-0.17,42.2,58.1,43.9,61.6,48.1,4.5,1.36,18.6,1.16666666666667,0.0833333333333333,0.0833333333333333,0.166666666666667,0,0.933333333333333,-0.15,8.16666666666667,19.3333333333333,25.6666666666667,2.83333333333333,7.16666666666667,11.1666666666667,0.5,1.25
0.2,28,1,0.1,0.4,20,81,57.3,100,69.8,10.5,1,9.5,0,0,0,0,0,0.4,0.4,6,30,21,0,13,19,2,1
1.2,32,10.3,0.36,0.42,56.6,22.3,28.7,37.2,35.6,8.3,1.36,14.3,1.45631067961165,0,0.0970873786407767,0.58252427184466,0,1.87378640776699,0.41747572815534,5.43689320388349,9.61165048543689,30.4854368932039,7.47572815533981,7.57281553398058,18.6407766990291,1.55339805825243,1.35922330097087
1,38,24.5,0.29,0.08,40.2,35.3,33.1,65.4,45.1,8.1,1.45,17.1,1.02040816326531,0,0.0408163265306122,0.204081632653061,0.0408163265306122,1.05714285714286,0.0775510204081633,5.42857142857143,13.5102040816327,28.6530612244898,4.20408163265306,5.18367346938776,10.6122448979592,0.857142857142857,1.38775510204082
0.9,27,25,0.32,-0.02,35.6,43.6,38.9,64.7,51.7,4.7,0.75,12.7,2.4,0.04,0.04,0.36,0.04,2.26,-0.02,6.4,17.96,28.92,5.8,8.28,16.28,0.76,0.72
4,29,24,0.29,0.24,27.9,44.1,38.3,55.4,45.4,5.2,1.52,16.5,1.04166666666667,0,0.125,0.125,0.0833333333333333,1.06666666666667,0.233333333333333,3.875,13.875,21.75,5.5,7.75,13.5833333333333,0.708333333333333,1.45833333333333
0.7,35,3,0.18,0.13,34.6,20.5,26,16.7,23.4,5.9,1.33,17.5,0.666666666666667,0,0,0.333333333333333,0,0.8,0.133333333333333,3,8.66666666666667,37.3333333333333,7,6,11.3333333333333,0.666666666666667,1.33333333333333
45,31,19,0.17,-0.03,41,19.8,28.2,27.9,32.7,9.8,1.22,14.7,0.842105263157895,0,0.210526315789474,0.0526315789473684,0,0.757894736842105,-0.0315789473684211,2.89473684210526,7.05263157894737,29.2631578947368,5.73684210526316,4.52631578947368,11.3157894736842,1.10526315789474,1.15789473684211
0.8,28,1.1,0.78,0.44,37.5,21.7,28.9,33.3,38.2,0,0.95,14.6,1.81818181818182,0,0,0,0,2.27272727272727,0.454545454545455,2.72727272727273,7.27272727272727,20.9090909090909,2.72727272727273,8.18181818181818,7.27272727272727,0,0.909090909090909
3,27,6,0.37,-0.12,36.4,20,25.7,35.7,34.3,14,2,19.4,1.16666666666667,0,0,0.166666666666667,0.166666666666667,0.733333333333333,-0.1,2,5.5,19.1666666666667,3.5,4.66666666666667,8.33333333333333,1.16666666666667,1.66666666666667
0.4,35,5.7,0.35,-0.11,19.3,32.6,32.2,68.3,50.7,1.4,0.86,13.4,2.10526315789474,0,0.175438596491228,0.350877192982456,0,1.49122807017544,-0.087719298245614,2.98245614035088,15.4385964912281,32.280701754386,3.15789473684211,7.19298245614035,12.8070175438596,0.175438596491228,0.701754385964912
1,31,4,0.42,0.27,41.2,50,42.6,85,60,7.5,0.5,12.2,2.25,0.25,0,0,0,2.525,0.275,10,24.25,31.5,4.25,10,20,1.5,0.5
25,26,21.5,0.28,-0.09,37.3,29.7,33,58.5,46.5,5,1.44,18.7,1.16279069767442,0,0.0465116279069767,0,0.0930232558139535,0.976744186046512,-0.0930232558139535,3.95348837209302,10.6046511627907,23.7674418604651,5.34883720930233,6.04651162790698,12.1395348837209,0.604651162790698,1.44186046511628
6,26,26,0.24,-0.13,28.2,47.8,41,94.6,71.5,6.9,1.76,16.6,1.11538461538462,0,0.115384615384615,0.192307692307692,0,0.992307692307692,-0.123076923076923,6.73076923076923,23.8846153846154,35.7692307692308,4.19230769230769,7.15384615384615,11.6923076923077,0.807692307692308,1.69230769230769
2,29,25,0.3,-0.09,40.9,34.2,34,52.3,42.1,8.3,1.04,15.6,1.56,0,0.04,0.2,0,1.396,-0.084,4.92,12.04,24.48,4.64,7.04,15.4,1.28,1
1,36,26,0.27,-0.01,35.5,36.3,33,48.7,37.4,6.4,1.04,13.2,1.26923076923077,0,0.0769230769230769,0.153846153846154,0.0769230769230769,1.15,-0.00384615384615385,4.23076923076923,11.9230769230769,22.8076923076923,4.92307692307692,7.5,15.1153846153846,0.961538461538462,1
0.3,35,13.9,0.29,0.23,25.8,24.8,29,46.4,36.6,3.3,0.54,11,1.22302158273381,0.143884892086331,0.0719424460431655,0.143884892086331,0,1.43165467625899,0.20863309352518,2.23021582733813,8.63309352517986,23.4532374100719,5.32374100719424,6.0431654676259,17.410071942446,0.575539568345324,0.503597122302158
12,30,23,0.27,-0.17,43.9,36,32.3,55.4,42.5,7.1,0.7,13.1,1.21739130434783,0,0.0434782608695652,0.173913043478261,0,1.04347826086957,-0.173913043478261,5,11.3913043478261,21.1304347826087,3.43478260869565,6.82608695652174,11.695652173913,0.826086956521739,0.695652173913043
5,28,26,0.24,0.11,25.5,56.6,42.1,78.1,52.9,5,0.96,12.7,1.19230769230769,0.0384615384615385,0.153846153846154,0.192307692307692,0.0384615384615385,1.17692307692308,0.1,4.92307692307692,19.2692307692308,23.6538461538462,3.76923076923077,7.53846153846154,14.5384615384615,0.730769230769231,0.923076923076923
10,33,17.5,0.29,-0.06,42.1,33.8,34.5,46.7,41,2.8,1.03,16.8,0.914285714285714,0,0,0.228571428571429,0,0.857142857142857,-0.0571428571428571,4.28571428571429,10.1714285714286,22.9714285714286,4.17142857142857,5.14285714285714,12.4571428571429,0.342857142857143,1.02857142857143
5,34,9.5,0.325,0.14,40.15,17.05,26.25,23.45,28.55,6.1,1.275,15.45,1.36842105263158,0.0526315789473684,0.157894736842105,0.0526315789473684,0.0526315789473684,1.31578947368421,0.157894736842105,3.52631578947368,9.57894736842105,42.3157894736842,4.47368421052632,6.84210526315789,13.1578947368421,0.684210526315789,1.21052631578947
10,23,20,0.25,0.36,41.6,30,32.7,33.3,35.2,9.9,1,13.1,0.6,0,0,0.05,0,0.945,0.345,3.95,9.5,24.85,5.7,6.15,14.15,1.4,0.95
0.15,23,2,0.26,-0.58,60,38.5,32.6,71.4,46.4,5,2.5,17.6,1.5,0,0,0,0,0.9,-0.6,6,10,19.5,2.5,3.5,10,0.5,2.5
3.5,29,13.1,0.26,-0.15,38.5,35.5,32.3,57.1,41.8,4.7,0.53,10.2,1.45038167938931,0,0,0.152671755725191,0.0763358778625954,1.22137404580153,-0.152671755725191,5.11450381679389,13.2824427480916,24.5038167938931,3.89312977099237,8.01526717557252,21.2213740458015,0.99236641221374,0.534351145038168
